Type                | Verb (alias)    | Action                                                                                                                                                                                                                                                                                     | Synonyms to avoid
Common Verbs        | Skip (sk)       | Bypasses one or more resources or points in a sequence.                                                                                                                                                                                                                                    | Bypass, Jump
Common Verbs        | Split (sl)      | Separates parts of a resource. For example, the Split-Path cmdlet returns different parts of a path. This verb is paired with Join.                                                                                                                                                        | Separate
Common Verbs        | Step (st)       | Moves to the next point or resource in a sequence.                                                                                                                                                                                                                                         |
Common Verbs        | Switch (sw)     | Specifies an action that alternates between two resources, such as to change between two locations, responsibilities, or states.                                                                                                                                                           |
Common Verbs        | Undo (un)       | Sets a resource to its previous state.                                                                                                                                                                                                                                                     |
Common Verbs        | Unlock (uk)     | Releases a resource that was locked. This verb is paired with Lock.                                                                                                                                                                                                                        | Release, Unrestrict, Unsecure
Common Verbs        | Watch (wc)      | Continually inspects or monitors a resource for changes.                                                                                                                                                                                                                                   |
Communications Verbs| Connect (cc)    | Creates a link between a source and a destination. This verb is paired with Disconnect.                                                                                                                                                                                                    | Join, Telnet, Login
Communications Verbs| Disconnect (dc) | Breaks the link between a source and a destination. This verb is paired with Connect.                                                                                                                                                                                                      | Break, Logoff
Communications Verbs| Read (rd)       | Acquires information from a source. This verb is paired with Write.                                                                                                                                                                                                                        | Acquire, Prompt, Get
Communications Verbs| Receive (rc)    | Accepts information sent from a source. This verb is paired with Send.                                                                                                                                                                                                                     | Read, Accept, Peek
Communications Verbs| Send (sd)       | Delivers information to a destination. This verb is paired with Receive.                                                                                                                                                                                                                   | Put, Broadcast, Mail, Fax
Communications Verbs| Write (wr)      | Adds information to a target. This verb is paired with Read.                                                                                                                                                                                                                               | Put, Print
Data Verbs          | Backup (ba)     | Stores data by replicating it.                                                                                                                                                                                                                                                             | Save, Burn, Replicate, Sync
Data Verbs          | Checkpoint (ch) | Creates a snapshot of the current state of the data or of its configuration.                                                                                                                                                                                                               | Diff
Data Verbs          | Compare (cr)    | Evaluates the data from one resource against the data from another resource.                                                                                                                                                                                                               | Diff
Data Verbs          | Compress (cm)   | Compacts the data of a resource. Pairs with Expand.                                                                                                                                                                                                                                        | Compact
Data Verbs          | Convert (cv)    | Changes the data from one representation to another when the cmdlet supports bidirectional conversion or when the cmdlet supports conversion between multiple data types.                                                                                                                  | Change, Resize, Resample
Data Verbs          | ConvertFrom (cf)| Converts one primary type of input (the cmdlet noun indicates the input) to one or more supported output types.                                                                                                                                                                            | Export, Output, Out
Data Verbs          | ConvertTo (ct)  | Converts from one or more types of input to a primary output type (the cmdlet noun indicates the output type).                                                                                                                                                                             | Import, Input, In
Data Verbs          | Dismount (dm)   | Detaches a named entity from a location. This verb is paired with Mount.                                                                                                                                                                                                                   | Unmount, Unlink
Data Verbs          | Edit (ed)       | Modifies existing data by adding or removing content.                                                                                                                                                                                                                                      | Change, Update, Modify
Data Verbs          | Expand (en)     | Restores the data of a resource that has been compressed to its original state. This verb is paired with Compress.                                                                                                                                                                         | Explode, Uncompress
Data Verbs          | Export (ep)     | Encapsulates the primary input into a persistent data store, such as a file, or into an interchange format. This verb is paired with Import.                                                                                                                                               | Extract, Backup
Data Verbs          | Group (gp)      | Arranges or associates one or more resources                                                                                                                                                                                                                                               |
Data Verbs          | Import (ip)     | Creates a resource from data that is stored in a persistent data store (such as a file) or in an interchange format. For example, the Import-CSV cmdlet imports data from a comma-separated value (CSV) file to objects that can be used by other cmdlets. This verb is paired with Export.| BulkLoad, Load
Data Verbs          | Initialize (in) | Prepares a resource for use, and sets it to a default state.                                                                                                                                                                                                                               | Erase, Init, Renew, Rebuild, Reinitialize, Setup
Data Verbs          | Limit (l)       | Applies constraints to a resource.                                                                                                                                                                                                                                                         | Quota
Data Verbs          | Merge (mg)      | Creates a single resource from multiple resources.                                                                                                                                                                                                                                         | Combine, Join
Data Verbs          | Mount (mt)      | Attaches a named entity to a location. This verb is paired with Dismount.                                                                                                                                                                                                                  | Connect
Data Verbs          | Out (o)         | Sends data out of the environment. For example, the Out-Printer cmdlet sends data to a printer.                                                                                                                                                                                            |
Data Verbs          | Publish (pb)    | Makes a resource available to others. This verb is paired with Unpublish.                                                                                                                                                                                                                  | Deploy, Release, Install
Data Verbs          | Restore (rr)    | Sets a resource to a predefined state, such as a state set by Checkpoint. For example, the Restore-Computer cmdlet starts a system restore on the local computer.                                                                                                                          | Repair, Return, Undo, Fix
Data Verbs          | Save (sv)       | Preserves data to avoid loss.                                                                                                                                                                                                                                                              |
Data Verbs          | Sync (sy)       | Assures that two or more resources are in the same state.                                                                                                                                                                                                                                  | Replicate, Coerce, Match
Data Verbs          | Unpublish (ub)  | Makes a resource unavailable to others. This verb is paired with Publish.                                                                                                                                                                                                                  | Uninstall, Revert, Hide
Data Verbs          | Update (ud)     | Brings a resource up-to-date to maintain its state, accuracy, conformance, or compliance. For example, the Update-FormatData cmdlet updates and adds formatting files to the current PowerShell console.                                                                                   | Refresh, Renew, Recalculate, Re-index
Diagnostic Verbs    | Debug (db)      | Examines a resource to diagnose operational problems.                                                                                                                                                                                                                                      | Diagnose
Diagnostic Verbs    | Measure (ms)    | Identifies resources that are consumed by a specified operation, or retrieves statistics about a resource.                                                                                                                                                                                 | Calculate, Determine, Analyze
Diagnostic Verbs    | Ping (pi)       | Deprecated - Use the Test verb instead.                                                                                                                                                                                                                                                    |
Diagnostic Verbs    | Repair (rp)     | Restores a resource to a usable condition                                                                                                                                                                                                                                                  | Fix, Restore
Diagnostic Verbs    | Resolve (rv)    | Maps a shorthand representation of a resource to a more complete representation.                                                                                                                                                                                                           | Expand, Determine
Diagnostic Verbs    | Test (t)        | Verifies the operation or consistency of a resource.                                                                                                                                                                                                                                       | Diagnose, Analyze, Salvage, Verify
Diagnostic Verbs    | Trace (tr)      | Tracks the activities of a resource.                                                                                                                                                                                                                                                       | Track, Follow, Inspect, Dig
Lifecycle Verbs     | Approve (ap)    | Confirms or agrees to the status of a resource or process.                                                                                                                                                                                                                                 |
Lifecycle Verbs     | Assert (as)     | Affirms the state of a resource.                                                                                                                                                                                                                                                           | Certify
Lifecycle Verbs     | Build (bd)      | Creates an artifact (usually a binary or document) out of some set of input files (usually source code or declarative documents.) This verb was added in PowerShell 6.                                                                                                                     |
Lifecycle Verbs     | Complete (cp)   | Concludes an operation.                                                                                                                                                                                                                                                                    |
Lifecycle Verbs     | Confirm (cn)    | Acknowledges, verifies, or validates the state of a resource or process.                                                                                                                                                                                                                   | Acknowledge, Agree, Certify, Validate, Verify
Lifecycle Verbs     | Deny (dn)       | Refuses, objects, blocks, or opposes the state of a resource or process.                                                                                                                                                                                                                   | Block, Object, Refuse, Reject
Lifecycle Verbs     | Deploy (dp)     | Sends an application, website, or solution to a remote target[s] in such a way that a consumer of that solution can access it after deployment is complete. This verb was added in PowerShell 6.                                                                                           |
Lifecycle Verbs     | Disable (d)     | Configures a resource to an unavailable or inactive state. For example, the Disable-PSBreakpoint cmdlet makes a breakpoint inactive. This verb is paired with Enable.                                                                                                                      | Halt, Hide
Lifecycle Verbs     | Enable (e)      | Configures a resource to an available or active state. For example, the Enable-PSBreakpoint cmdlet makes a breakpoint active. This verb is paired with Disable.                                                                                                                            | Start, Begin
Lifecycle Verbs     | Install (is)    | Places a resource in a location, and optionally initializes it. This verb is paired with Uninstall.                                                                                                                                                                                        | Setup
Lifecycle Verbs     | Invoke (i)      | Performs an action, such as running a command or a method.                                                                                                                                                                                                                                 | Run, Start
Lifecycle Verbs     | Register (rg)   | Creates an entry for a resource in a repository such as a database. This verb is paired with Unregister.                                                                                                                                                                                   |
Lifecycle Verbs     | Request (rq)    | Asks for a resource or asks for permissions.                                                                                                                                                                                                                                               |
Lifecycle Verbs     | Restart (rt)    | Stops an operation and then starts it again. For example, the Restart-Service cmdlet stops and then starts a service.                                                                                                                                                                      | Recycle
Lifecycle Verbs     | Resume (ru)     | Starts an operation that has been suspended. For example, the Resume-Service cmdlet starts a service that has been suspended. This verb is paired with Suspend.                                                                                                                            |
Lifecycle Verbs     | Start (sa)      | Initiates an operation. For example, the Start-Service cmdlet starts a service. This verb is paired with Stop.                                                                                                                                                                             | Launch, Initiate, Boot
Lifecycle Verbs     | Stop (sp)       | Discontinues an activity. This verb is paired with Start.                                                                                                                                                                                                                                  | End, Kill, Terminate, Cancel
Lifecycle Verbs     | Submit (sb)     | Presents a resource for approval.                                                                                                                                                                                                                                                          | Post
Lifecycle Verbs     | Suspend (ss)    | Pauses an activity. For example, the Suspend-Service cmdlet pauses a service. This verb is paired with Resume.                                                                                                                                                                             | Pause
Lifecycle Verbs     | Uninstall (us)  | Removes a resource from an indicated location. This verb is paired with Install.                                                                                                                                                                                                           |
Lifecycle Verbs     | Unregister (ur) | Removes the entry for a resource from a repository. This verb is paired with Register.                                                                                                                                                                                                     | Remove
Lifecycle Verbs     | Wait (w)        | Pauses an operation until a specified event occurs. For example, the Wait-Job cmdlet pauses operations until one or more of the background jobs are complete.                                                                                                                              | Sleep, Pause
Security Verbs      | Block (bl)      | Restricts access to a resource. This verb is paired with Unblock.                                                                                                                                                                                                                          | Prevent, Limit, Deny
Security Verbs      | Grant (gr)      | Allows access to a resource. This verb is paired with Revoke.                                                                                                                                                                                                                              | Allow, Enable
Security Verbs      | Protect (pt)    | Safeguards a resource from attack or loss. This verb is paired with Unprotect.                                                                                                                                                                                                             | Encrypt, Safeguard, Seal
Security Verbs      | Revoke (rk)     | Specifies an action that does not allow access to a resource. This verb is paired with Grant.                                                                                                                                                                                              | Remove, Disable
Security Verbs      | Unblock (ul)    | Removes restrictions to a resource. This verb is paired with Block.                                                                                                                                                                                                                        | Clear, Allow
Security Verbs      | Unprotect (up)  | Removes safeguards from a resource that were added to prevent it from attack or loss. This verb is paired with Protect.                                                                                                                                                                    | Decrypt, Unseal
Other Verbs         | Use (u)         | Uses or includes a resource to do something.                                                                                                                                                                                                                                               |